"metric_name","metric_type_title","metric_title","metric_description"
"talweg_elevation_min","Elévation (m)","Elévation (m)","Elévation minimale du talweg."
"active_channel_width","Largeurs (m)","Chenal actif (m)","Surface en eau et bancs sédimentaires."
"w_star","Largeurs (m)","W étoilé","Largeur de bande active normalisée par l'aire drainée"
"natural_corridor_width","Largeurs (m)","Corridor naturel (m)","Surface en eau, bancs sédimentaires et végétation rivulaire connectée."
"connected_corridor_width","Largeurs (m)","Corridor connecté (m)","Surface en eau, bancs sédimentaires, végétation rivulaire connectée et surfaces agricoles connectées."
"valley_bottom_width","Largeurs (m)","Fond de vallée (m)","Fond de vallée déterminé par seuil de pente et d'élévation."
"idx_confinement","Confinement","Indice de confinement","Ratio de la largeur de la bande active sur la largeur du fond de vallée. Il permet d'estimer si le cours d'eau est contraint par la topographie. Plus l'indice est faible plus le cours d'eau a d'espace potentiel pour s'élargir."
"conf_margin","Confinement","Marge de confinement","Pourcentage de contact entre la bande active et la limite de la vallée"
"sinuosite","Sinuosité","Indice de sinuosité","Ratio de la longueur du talweg sur la distance à vol d'oiseau entre les extrémités du tronçon. Plus la sinuosité est élevée, plus le cours d'eau est sinueux."
"angle_local","Sinuosité","Angle de déflexion local","Valeur absolue de la différence d'angle entre la centerline pour le DGO considéré et celle du DGO suivant"
"iles_vegetalisees","Multi-chenal","Présence d'îles végétalisées","Variable indicatrice de la présence d'une ou plusieurs îles végétalisées dans le DGO(1 si une île est présente, 0 sinon)"
"multi_channel_index","Multi-chenal","Nombre de chenaux","Nombre de chenaux dans le DGO"
"talweg_slope","Pentes (%)","Pente talweg (%)","Pente moyenne du talweg."
"floodplain_slope","Pentes (%)","Pente fond de vallée (%)","Pente moyenne du fond de vallée."
"water_channel_pc","Occupation du sol (%)","Surface en eau (%)","Surface en eau définie par la BD TOPO® de l'IGN. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"gravel_bars_pc","Occupation du sol (%)","Banc sédimentaire (%)","Surface des eaux intermittentes de la BD TOPO® de l'IGN. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"natural_open_pc","Occupation du sol (%)","Espace naturel ouvert (%)","Zone de végétation ouverte telles que les forêts ouvertes, les haies ou bandes ligneuses. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"forest_pc","Occupation du sol (%)","Forêt (%)","Zone de végétation fermée. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"grassland_pc","Occupation du sol (%)","Prairie permanente (%)","Parcelle de prairie permanente définie dans le RPG®. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"crops_pc","Occupation du sol (%)","Culture (%)","Zone de culture rassemblant les grandes cultures, l'arboriculture et les vignes. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"diffuse_urban_pc","Occupation du sol (%)","Périurbain (%)","Zone d'habitation diffus proche de la zone d'habitation de la BD TOPO®. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"dense_urban_pc","Occupation du sol (%)","Urbain dense (%)","Zone continue de l'espace bâti dense ou artificialisée. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"infrastructures_pc","Occupation du sol (%)","Infrastructure de transport (%)","Infrastructure routière et ferroviaire. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"water_channel","Occupation du sol (ha)","Surface en eau (ha)","Surface en eau définie par la BD TOPO® de l'IGN. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"gravel_bars","Occupation du sol (ha)","Banc sédimentaire (ha)","Surface des eaux intermittentes de la BD TOPO® de l'IGN. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"natural_open","Occupation du sol (ha)","Espace naturel ouvert (ha)","Zone de végétation ouverte telles que les forêts ouvertes, les haies ou bandes ligneuses. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"forest","Occupation du sol (ha)","Forêt (ha)","Zone de végétation fermée. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"grassland","Occupation du sol (ha)","Prairie permanente (ha)","Parcelle de prairie permanente définie dans le RPG®. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"crops","Occupation du sol (ha)","Culture (ha)","Zone de culture rassemblant les grandes cultures, l'arboriculture et les vignes. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"diffuse_urban","Occupation du sol (ha)","Périurbain (ha)","Zone d'habitation diffus proche de la zone d'habitation de la BD TOPO®. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"dense_urban","Occupation du sol (ha)","Urbain dense (ha)","Zone continue de l'espace bâti dense ou artificialisée. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"infrastructures","Occupation du sol (ha)","Infrastructure de transport (ha)","Infrastructure routière et ferroviaire. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"active_channel_pc","Continuité latérale (%)","Bande active (%)","Les surfaces en eau et les bancs sédimentaires connectés. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"riparian_corridor_pc","Continuité latérale (%)","Corridor naturel (%)","Le chenal actif avec la végétation ouverte et fermée connectée. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"semi_natural_pc","Continuité latérale (%)","Corridor semi-naturel (%)","Le corridor naturel avec les prairies permanentes connectées. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"reversible_pc","Continuité latérale (%)","Espace de réversibilité (%)","Le corridor semi-naturel avec les cultures connectées. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"disconnected_pc","Continuité latérale (%)","Espace déconnecté (%)","Espace non urbanisé déconnecté du corridor fluvial par des infrastructures ou du bâti. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"built_environment_pc","Continuité latérale (%)","Espace artificialisé (%)","Zone bâti, dense ou peu dense, et les infrastructures de transport. La surface est exprimée en pourcentage du fond de vallée découpée à partir des tronçons de 200m du réseau hydrographique."
"active_channel","Continuité latérale (ha)","Bande active (ha)","Les surfaces en eau et les bancs sédimentaires connectés. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"riparian_corridor","Continuité latérale (ha)","Corridor naturel (ha)","Le chenal actif avec la végétation ouverte et fermée connectée. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"semi_natural","Continuité latérale (ha)","Corridor semi-naturel (ha)","Le corridor naturel avec les prairies permanentes connectées. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"reversible","Continuité latérale (ha)","Espace de réversibilité (ha)","Le corridor semi-naturel avec les cultures connectées. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"disconnected","Continuité latérale (ha)","Espace déconnecté (ha)","Espace non urbanisé déconnecté du corridor fluvial par des infrastructures ou du bâti. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
"built_environment","Continuité latérale (ha)","Espace artificialisé (ha)","Zone bâti, dense ou peu dense, et les infrastructures de transport. La surface est exprimée en hectares découpée à partir des tronçons de 200m du réseau hydrographique."
